chr1	0	249250621	2308168
chr2	0	243199373	1675135
chr3	0	198022430	1744357
chr4	0	191154276	976399
chr5	0	180915260	2037480
chr6	0	171115067	1194256
chr7	0	159138663	1349905
chr8	0	146364022	1297662
chr9	0	141213431	1049996
chr10	0	135534747	1044851
chr11	0	135006516	1292831
chr12	0	133851895	1209445
chr13	0	115169878	570964
chr14	0	107349540	774040
chr15	0	102531392	915552
chr16	0	90354753	729477
chr17	0	81195210	747181
chr18	0	78077248	515334
chr19	0	59128983	472143
chr20	0	63025520	590134
chr21	0	48129895	306172
chr22	0	51304566	240795
chrX	0	155270560	1064522
