chr6	143300186	116	CviQI
chr15	53149933	1	HpaII
chr9	31559504	1	CviQI
chr13	75869374	31	CviQI
chr13	48605605	105	CviQI
chr14	60606941	64	HpaII
chr2	55148865	26	CviQI
chr7	39767140	94	CviQI
chr5	138672194	492	soni
chr10	96132962	189	soni
chr6	170297388	312	MboI
chr8	38524456	8485	CviQI,HpaII,MboI,soni
chr6	22607691	7	CviQI
chr5	115250462	1	CviQI
chr3	123795204	5	CviQI
chr14	24191010	1	CviQI
chr7	54789811	6	MboI
chr6	91387332	1	CviQI
chr15	52834956	1	CviQI
chr2	204221475	32	CviQI,HpaII
chr15	65038228	452	MboI
chr21	33484353	23	CviQI
chr10	8869162	1	HpaII
chr21	38154972	467	MboI
chr1	155121981	252	MboI
chr4	78769370	1	CviQI
chr7	146604247	1	HpaII
chr7	23391423	1	CviQI
chr1	62989295	13	CviQI
chr6	56767741	38	MboI
chr6	119415256	209	MboI
chr19	40367726	138	MboI
chr10	28927788	11	CviQI
chr5	58715644	1	MboI
chr6	67622241	1	CviQI
chrX	85315690	216	MboI
chr2	69478730	1	MboI
chr12	33781099	548	soni
chr8	66652662	64	HpaII,MboI
chr3	47229923	1	CviQI
chr3	112464456	145	soni
chr7	122513702	1	CviQI
chr4	102240914	318	soni
chr7	148125568	84	soni
chr1	12386790	244	soni
chrX	5190784	1	CviQI
chr13	34410758	20	CviQI,HpaII
chr16	15432675	42	CviQI
chr10	23389175	278	MboI
chr1	209546426	1	soni
chr12	45975766	8	CviQI
chr22	19670952	21	soni
chr2	156372069	558	soni
chr4	129244002	1	CviQI
chr7	127053088	4344	CviQI
chr10	30754031	154	soni
chr19	11730245	1	CviQI
chrX	43404808	398	CviQI,MboI
chr4	56256043	1	CviQI
chr4	154938838	178	CviQI,HpaII
chr15	47221167	7	HpaII
chr11	93116563	812	soni
chr1	166416260	1400	soni
chr18	72691310	20	CviQI
chr3	33833583	242	MboI
chr6	98365506	25	MboI
chr9	36382710	64	MboI
chr5	157644666	65	CviQI,MboI
chr16	64546600	46	soni
chr16	11409033	204	MboI
chr6	108625162	26	MboI
chr13	104380650	1	MboI
chr7	110703069	134	MboI
chr4	133766263	1	HpaII
chr15	56235935	1	soni
chr2	221210669	30	CviQI,HpaII
chr5	52283144	49	MboI
chr1	28728932	158	MboI
chr8	133034798	8	soni
chr10	129767991	358	CviQI,HpaII
chr18	28316234	3	MboI
chr16	27112456	655	CviQI,MboI
chr2	85841538	539	MboI
chr5	123332789	10	CviQI,HpaII,MboI
chr6	128124500	40	MboI
chr19	4737143	345	soni
chr19	45451154	90	soni
chr10	83467816	1	HpaII
chr20	35435102	68	CviQI,HpaII
chr1	182406571	18	CviQI
chr3	133110128	1	CviQI
chr20	13075678	179	soni
chr7	111217221	231	CviQI
chr5	109825395	1	HpaII
chr11	13993382	211	CviQI,MboI
chr1	166551394	1587	soni
chr3	190067786	39	MboI
chr22	23173658	123	MboI
chr8	34730058	1	MboI
chr11	48236520	53	CviQI
chr5	64326097	25	MboI
chr2	17741792	522	soni
chr7	149796640	15	MboI
chr13	73547220	861	soni
chr14	43108598	38	soni
chr1	202777264	136	CviQI
chr5	66509591	1	MboI
chr10	58572488	1	CviQI
chr8	32621114	79	CviQI
chr11	124492208	47	MboI
chr1	54071676	370	soni
chr4	161527156	1	CviQI
chr12	128048353	1030	CviQI,MboI
chr6	140807232	755	soni
chr10	17394887	1	MboI
chr12	96505751	1	CviQI
chr1	45756175	1061	soni
chr2	231164141	273	MboI
chr1	194583682	500	CviQI,HpaII
chr7	113054430	119	CviQI
chr3	136307665	54	CviQI,HpaII
chr10	29668493	119	soni
chr10	109108896	297	soni
chr12	24510728	39	CviQI
chr19	43892781	96	CviQI,HpaII
chr4	106694842	324	CviQI,MboI
chr2	215217981	320	CviQI,HpaII
chr1	168417169	52	MboI
chr10	127884730	1	CviQI
chr9	131763100	1277	soni
chr3	28725210	18	soni
chr6	62688412	495	CviQI
chr15	96312723	38	MboI
chr21	34398380	139	MboI
chr20	52225360	46	CviQI
chr18	32389609	4	CviQI
chr4	34743275	37	CviQI
chr21	24084323	117	soni
chr4	1055392	1	CviQI
chr2	56197694	33043	soni
chr5	118940290	149	MboI
chr1	101500841	19	MboI
chr18	11011004	120	CviQI,HpaII
chr16	48555562	3	MboI
chr9	128057276	1	MboI
chr16	69107648	51	MboI
chr6	65285036	4	HpaII
chr21	35233019	165	MboI
chr9	83497101	29	CviQI
chr9	101675772	1177	soni
chr19	46942696	26	MboI
chr12	24305207	52	MboI
chr15	38269998	1	HpaII
chr16	59475086	214	MboI
chr1	151275816	3	CviQI
chr8	65994751	522	soni
chr3	36845892	131	MboI
chr17	41605759	1	MboI
chr7	72698265	115	HpaII
chr5	174137928	117	MboI
chr3	161695014	33	CviQI
chr4	168938090	1	MboI
chr11	55357004	1	soni
chr3	114978490	812	soni
chr12	68972237	328	CviQI,HpaII
chr8	64356764	61	CviQI
chr5	95680179	63	CviQI,HpaII
chr11	91294671	115	CviQI,HpaII
chr6	135531392	673	MboI
chr6	16302463	2	CviQI
chr19	9586984	46	CviQI
chr22	38975352	144	soni
chr11	85705876	59	MboI
chr2	172714224	65	MboI
chr13	99108981	1	soni
chr16	71653751	72	CviQI
chr1	218132016	1	MboI
chr14	67887209	1620	soni
chr5	118765793	189	CviQI,HpaII
chr19	41938281	62	soni
chr1	159231710	176	soni
chr10	7725787	6	MboI
chr19	4174381	190	MboI
chr1	24568089	139	CviQI,HpaII
chr2	5574144	146	soni
chr1	193619254	3	CviQI
chr1	9242793	113	HpaII
chr22	45645383	822	soni
chr6	31879337	11065	CviQI,HpaII,MboI,soni
chr11	82455923	1	CviQI
chr11	96275414	3207	CviQI
chr10	76015106	21	CviQI
chr14	50014304	23	CviQI
chr1	193962926	5	HpaII
chr22	18662218	1	CviQI
chr3	20023450	1	HpaII
chr5	135638995	1	CviQI
chr3	165737483	1	CviQI
chr14	45010971	131	CviQI
chr8	116173607	10	HpaII
chrX	150443864	142	CviQI
chr18	60803273	67	MboI
chr11	110995235	960	soni
chr7	141981365	5	CviQI
chr5	112357469	1	soni
chr11	48801375	2	soni
chr10	52887445	114	soni
chr2	237458399	210	CviQI
chr17	34608128	233	HpaII
chr2	178594569	134	MboI
chr15	85791197	1	HpaII
chr18	60569480	1	MboI
chr9	120114833	1	HpaII
chr3	110833376	1	CviQI
chr11	66197186	109	soni
chr16	24650821	87	CviQI
chr6	23396672	1	HpaII
chr12	75795361	2	CviQI
chr6	117909464	1679	soni
chr12	6184133	1113	soni
chr10	33650195	625	MboI
chr18	17073955	107	HpaII
chr5	148908790	696	MboI
chr4	76650762	98	MboI
chrX	50616841	13	HpaII
chr12	54131487	56	HpaII
chr20	79382	37	CviQI
chr6	45433951	203	CviQI,HpaII
chr5	45899618	443	MboI
chr3	33575835	167	CviQI,HpaII
chr10	99207034	31	soni
chr14	97337271	50	CviQI,MboI
chr3	79548443	1	CviQI
chr9	91129660	3	CviQI
chr1	152200487	89	soni
chr4	152512600	70	soni
chr4	153329265	31	soni
chr8	99509345	67	soni
chr4	110623666	1	soni
chr15	32308532	1	CviQI
chr2	172525798	24	MboI
chr13	39942667	123	MboI
chr6	7061019	98	soni
chr21	26549243	68	HpaII
chr7	3509711	11	MboI
chr9	88079135	97	HpaII
chr2	86068811	1345	soni
chr14	99752642	271	soni
chr10	28643361	489	soni
chr2	109213624	153	soni
chr11	5292382	171	CviQI,HpaII
chr19	53757613	19	MboI
